name,category,rating,review_count,address,phone,website,google_maps_url,search_query
Blue Ribbon Bakery Defence Phase 2,Bakery,4.2,4,"
R3MC+2F6, 45-C 21st Commercial St, Phase 2 Commercial Area Defence Housing Authority, Karachi, 75500, Pakistan","
+92 21 35899210",,https://www.google.com/maps/place/Blue+Ribbon+Bakery+Defence+Phase+2/data=!4m7!3m6!1s0x3eb33c402191edad:0x6d0bf97849f406b6!8m2!3d24.8322906!4d67.0701412!16s%2Fg%2F11cn8sc9h8!19sChIJre2RIUA8sz4Rtgb0SXj5C20?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Paul Bakery & Cafe,Cafe,4.2,4,"
17-C, Commercial Lane, 6 Khayaban-e-Shahbaz, Phase Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan","
+92 308 0553311",http://order.paulpakistan.com/,https://www.google.com/maps/place/Paul+Bakery+%26+Cafe/data=!4m7!3m6!1s0x3eb33dc1c65eb905:0x470fedcaeb314409!8m2!3d24.7960144!4d67.0503253!16s%2Fg%2F11kwbrj94t!19sChIJBblexsE9sz4RCUQx68rtD0c?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Crispo Bakery,Bakery,4.3,4,"
R3J9+GG3, Phase 2 Commercial Area Defence Housing Authority, Karachi, 75500, Pakistan","
+92 332 2036837",https://bakery.crispo.pk/,https://www.google.com/maps/place/Crispo+Bakery/data=!4m7!3m6!1s0x3eb33c4049d37d09:0xa1c45f43055f6451!8m2!3d24.8312744!4d67.0687917!16s%2Fg%2F11ckvv_xfb!19sChIJCX3TSUA8sz4RUWRfBUNfxKE?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Delizia Bakery Khayaban-e-Jami,Bakery,4.4,4,"
86C Khayaban-e-Jami, D.H.A. Phase 7 Phase 2 Commercial Area Defence Housing Authority, Karachi, 75500, Pakistan","
+92 21 111 359 111",http://www.delizia.pk/,https://www.google.com/maps/place/Delizia+Bakery+Khayaban-e-Jami/data=!4m7!3m6!1s0x3eb33c41db0215f3:0x1c0d93e075bae6f9!8m2!3d24.8300368!4d67.0696764!16s%2Fg%2F11d_8lx64f!19sChIJ8xUC20E8sz4R-ea6deCTDRw?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
YUM by Amna Bakery,Bakery,4.0,4,"
Shop 1. Building, Q3W2+553, 23C Khayaban-e-Seher, D.H.A Phase 6 Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan","
+92 21 35244393",http://yumbyamna.com/,https://www.google.com/maps/place/YUM+by+Amna+Bakery/data=!4m7!3m6!1s0x3eb33d04b3f7438b:0x569c11e2de72b148!8m2!3d24.7955303!4d67.0505702!16s%2Fg%2F11qm0bc4b5!19sChIJi0P3swQ9sz4RSLFy3uIRnFY?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Ma’s Bakehouse,Bakery,4.7,4,"
109/2 Khayaban-e-Bahria, DHA Phase 5 Defence V Defence Housing Authority, Karachi, 75500, Pakistan",,,https://www.google.com/maps/place/Ma%E2%80%99s+Bakehouse/data=!4m7!3m6!1s0x3eb33d8283c39543:0xfd0ab2048507ed21!8m2!3d24.8027181!4d67.0510578!16s%2Fg%2F11ll24rjfw!19sChIJQ5XDg4I9sz4RIe0HhQSyCv0?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Morning Fresh Bakers - Badar,Bakery,4.8,4,"
shop 1, plot 13C Khayaban-e-Badar, DHA Phase 5 Badar Commercial Area Defence V Defence Housing Authority, Karachi, 75500, Pakistan","
+92 309 2001401",http://morningfreshbakers.com/,https://www.google.com/maps/place/Morning+Fresh+Bakers+-+Badar/data=!4m7!3m6!1s0x3eb33dfa5bf3cad3:0x8770d43ac1916feb!8m2!3d24.7983545!4d67.0475109!16s%2Fg%2F11yrzmdwhl!19sChIJ08rzW_o9sz4R62-RwTrUcIc?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Delizia Phase 8,Bakery,4.4,4,"
Suite No.103, First Floor, Plot No. 54C, Lane 2, DHA Karachi Phase VIII Zone A Zulfiqar & Al Murtaza Commercial Area Phase 8 Defence Housing Authority, Karachi, 75500, Pakistan","
+92 310 2066061",,https://www.google.com/maps/place/Delizia+Phase+8/data=!4m7!3m6!1s0x3eb33d05ce58c73d:0x72a5bb3bfe8ed363!8m2!3d24.7896849!4d67.0750213!16s%2Fg%2F11sqxvgfkp!19sChIJPcdYzgU9sz4RY9OO_ju7pXI?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Pie in the sky | Badar commercial,Bakery,4.3,4,"
shop 3 plot, 17C Khayaban-e-Badar, DHA Phase 5 Badar Commercial Area Defence V Defence Housing Authority, Karachi, 75500, Pakistan","
+92 21 35244170",http://pieinthesky.com.pk/,https://www.google.com/maps/place/Pie+in+the+sky+%7C+Badar+commercial/data=!4m7!3m6!1s0x3eb33cfd6782fdab:0xe523a13ce49f9366!8m2!3d24.7983151!4d67.0474755!16s%2Fg%2F1tscmgqx!19sChIJq_2CZ_08sz4RZpOf5DyhI-U?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Auntie Munaver's Dessert & Savory,Dessert shop,4.7,4,"
Shop # 1, Plot # 19-C Street 2, SMALL BUKHARI Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan","
+92 304 1110106",http://www.auntiemunavers.com/,https://www.google.com/maps/place/Auntie+Munaver%27s+Dessert+%26+Savory/data=!4m7!3m6!1s0x3eb33da798cc834b:0xcf06d175d4c50844!8m2!3d24.7871429!4d67.0585078!16s%2Fg%2F11g9jf6zld!19sChIJS4PMmKc9sz4RRAjF1HXRBs8?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
Dear Croissant,Bakery,4.1,4,"
Plot No, 1 St 3, DHA Phase 5 Saba Commercial Area Defence V Defence, Karachi, 75685, Pakistan","
+92 301 0801494",https://www.dearcroissant.com/,https://www.google.com/maps/place/Dear+Croissant/data=!4m7!3m6!1s0x3eb33d6db9334cdf:0xcf54dcb7df338a9f!8m2!3d24.8013349!4d67.0383549!16s%2Fg%2F11t_lr1g6b!19sChIJ30wzuW09sz4Rn4oz37fcVM8?authuser=0&hl=en&rclk=1,bakeries in DHA Karachi
